               eta                    f                   f'                  f''
      9.9000000000        -0.0494073738        -0.0101052728        -0.0010845691
     10.0000000000        -0.0504233284        -0.0102138647        -0.0010872792
               eta                    f                   f'                  f''
      0.0000000000         0.0000000000         0.0000000000         0.0010000055
      0.1000000000         0.0000050000         0.0001000005         0.0010000054
      0.2000000000         0.0000200001         0.0002000011         0.0010000048
      0.3000000000         0.0000450002         0.0003000015         0.0010000032
      0.4000000000         0.0000800004         0.0004000017         0.0010000001
      0.5000000000         0.0001250006         0.0005000014         0.0009999951
      0.6000000000         0.0001800007         0.0006000006         0.0009999875
      0.7000000000         0.0002450006         0.0006999988         0.0009999769
      0.8000000000         0.0003200004         0.0007999958         0.0009999628
      0.9000000000         0.0004049998         0.0008999913         0.0009999447
      1.0000000000         0.0004999986         0.0009999846         0.0009999221
      1.1000000000         0.0006049966         0.0010999755         0.0009998946
      1.2000000000         0.0007199936         0.0011999634         0.0009998615
      1.3000000000         0.0008449892         0.0012999476         0.0009998224
      1.4000000000         0.0009799830         0.0013999276         0.0009997768
      1.5000000000         0.0011249745         0.0014999027         0.0009997243
      1.6000000000         0.0012799633         0.0015998722         0.0009996642
      1.7000000000         0.0014449487         0.0016998353         0.0009995961
      1.8000000000         0.0016199301         0.0017997912         0.0009995196
      1.9000000000         0.0018049067         0.0018997389         0.0009994341
      2.0000000000         0.0019998776         0.0019996777         0.0009993390
      2.1000000000         0.0022048419         0.0020996064         0.0009992340
      2.2000000000         0.0024197985         0.0021995241         0.0009991186
      2.3000000000         0.0026447463         0.0022994298         0.0009989921
      2.4000000000         0.0028796840         0.0023993222         0.0009988542
      2.5000000000         0.0031246103         0.0024992002         0.0009987043
      2.6000000000         0.0033795236         0.0025990626         0.0009985420
      2.7000000000         0.0036444223         0.0026989082         0.0009983667
      2.8000000000         0.0039193046         0.0027987355         0.0009981780
      2.9000000000         0.0042041687         0.0028985433         0.0009979753
      3.0000000000         0.0044990125         0.0029983301         0.0009977582
      3.1000000000         0.0048038340         0.0030980944         0.0009975262
      3.2000000000         0.0051186306         0.0031978348         0.0009972789
      3.3000000000         0.0054434001         0.0032975497         0.0009970156
      3.4000000000         0.0057781397         0.0033972374         0.0009967360
      3.5000000000         0.0061228466         0.0034968963         0.0009964395
      3.6000000000         0.0064775179         0.0035965247         0.0009961257
      3.7000000000         0.0068421505         0.0036961209         0.0009957941
      3.8000000000         0.0072167410         0.0037956829         0.0009954442
      3.9000000000         0.0076012859         0.0038952091         0.0009950756
      4.0000000000         0.0079957815         0.0039946974         0.0009946877
      4.1000000000         0.0084002240         0.0040941460         0.0009942801
      4.2000000000         0.0088146093         0.0041935528         0.0009938523
      4.3000000000         0.0092389331         0.0042929157         0.0009934039
      4.4000000000         0.0096731909         0.0043922328         0.0009929344
      4.5000000000         0.0101173781         0.0044915019         0.0009924433
      4.6000000000         0.0105714896         0.0045907207         0.0009919301
      4.7000000000         0.0110355205         0.0046898872         0.0009913945
      4.8000000000         0.0115094652         0.0047889989         0.0009908359
      4.9000000000         0.0119933184         0.0048880536         0.0009902539
      5.0000000000         0.0124870740         0.0049870489         0.0009896481
      5.1000000000         0.0129907261         0.0050859824         0.0009890180
      5.2000000000         0.0135042683         0.0051848517         0.0009883632
      5.3000000000         0.0140276942         0.0052836542         0.0009876831
      5.4000000000         0.0145609968         0.0053823874         0.0009869775
      5.5000000000         0.0151041693         0.0054810488         0.0009862459
      5.6000000000         0.0156572041         0.0055796357         0.0009854877
      5.7000000000         0.0162200938         0.0056781455         0.0009847027
      5.8000000000         0.0167928306         0.0057765754         0.0009838904
      5.9000000000         0.0173754062         0.0058749226         0.0009830504
      6.0000000000         0.0179678122         0.0059731845         0.0009821822
      6.1000000000         0.0185700401         0.0060713581         0.0009812855
      6.2000000000         0.0191820808         0.0061694406         0.0009803598
      6.3000000000         0.0198039251         0.0062674291         0.0009794048
      6.4000000000         0.0204355634         0.0063653206         0.0009784201
      6.5000000000         0.0210769859         0.0064631121         0.0009774052
      6.6000000000         0.0217281824         0.0065608006         0.0009763599
      6.7000000000         0.0223891425         0.0066583830         0.0009752836
      6.8000000000         0.0230598554         0.0067558563         0.0009741762
      6.9000000000         0.0237403100         0.0068532172         0.0009730371
      7.0000000000         0.0244304949         0.0069504626         0.0009718660
      7.1000000000         0.0251303986         0.0070475893         0.0009706626
      7.2000000000         0.0258400088         0.0071445941         0.0009694266
      7.3000000000         0.0265593132         0.0072414736         0.0009681575
      7.4000000000         0.0272882992         0.0073382245         0.0009668551
      7.5000000000         0.0280269537         0.0074348435         0.0009655190
      7.6000000000         0.0287752634         0.0075313272         0.0009641490
      7.7000000000         0.0295332145         0.0076276721         0.0009627446
      7.8000000000         0.0303007930         0.0077238749         0.0009613056
      7.9000000000         0.0310779846         0.0078199321         0.0009598316
      8.0000000000         0.0318647745         0.0079158401         0.0009583225
      8.1000000000         0.0326611476         0.0080115954         0.0009567779
      8.2000000000         0.0334670884         0.0081071944         0.0009551975
      8.3000000000         0.0342825811         0.0082026337         0.0009535810
      8.4000000000         0.0351076096         0.0082979094         0.0009519283
      8.5000000000         0.0359421574         0.0083930181         0.0009502389
      8.6000000000         0.0367862076         0.0084879560         0.0009485128
      8.7000000000         0.0376397428         0.0085827194         0.0009467496
      8.8000000000         0.0385027455         0.0086773047         0.0009449492
      8.9000000000         0.0393751977         0.0087717080         0.0009431113
      9.0000000000         0.0402570809         0.0088659257         0.0009412356
      9.1000000000         0.0411483765         0.0089599539         0.0009393221
      9.2000000000         0.0420490653         0.0090537888         0.0009373704
      9.3000000000         0.0429591277         0.0091474267         0.0009353804
      9.4000000000         0.0438785439         0.0092408636         0.0009333520
      9.5000000000         0.0448072936         0.0093340958         0.0009312850
      9.6000000000         0.0457453561         0.0094271193         0.0009291791
      9.7000000000         0.0466927104         0.0095199303         0.0009270344
      9.8000000000         0.0476493350         0.0096125249         0.0009248505
      9.9000000000         0.0486152080         0.0097048991         0.0009226275
     10.0000000000         0.0495903073         0.0097970491         0.0009203651
               eta                    f                   f'                  f''
      0.0000000000         0.0000000000         0.0000000000         0.3324586650
      0.1000000000         0.0016622933         0.0332456362         0.3324494545
      0.2000000000         0.0066490351         0.0664880489         0.3323849883
      0.3000000000         0.0149595348         0.0997189521         0.3322100779
      0.4000000000         0.0265919973         0.1329245500         0.3318697532
      0.5000000000         0.0415429741         0.1660855709         0.3313095143
      0.6000000000         0.0598068179         0.1991773310         0.3304756805
      0.7000000000         0.0813751466         0.2321698370         0.3293158343
      0.8000000000         0.1062363196         0.2650279394         0.3277793538
      0.9000000000         0.1343749318         0.2977115411         0.3258180251
      1.0000000000         0.1657713323         0.3301758724         0.3233867238
      1.1000000000         0.2004011736         0.3623718359         0.3204441495
